Rank,Title,Citations,Year,URL,Description
31,System and method for modeling behavior change and consistency to detect malicious insiders,37,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:Y5dfb0dijaUC,"One embodiment of the present invention provides a system for identifying anomalies. During operation, the system obtains work practice data associated with a plurality of users. The work practice data includes a plurality of user events. The system further categorizes the work practice data into a plu rality of domains based on types of the user events, models user behaviors within a respective domain based on work practice data associated with the respective domain, and iden tifies at least one anomalous user based on modeled user behaviors from the multiple domains."
32,Collaborative paper-based annotation of lecture slides,37,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:5nxA0vEk-isC,"In a study of notetaking in university courses, we found that the large majority of students prefer paper to computer-based media like Tablet PCs for taking notes and making annotations. Based on this finding, we developed CoScribe, a concept and system which supports students in making collaborative handwritten annotations on printed lecture slides. It includes mechanisms for the paper-based sharing and semantic tagging of annotations and slides. Moreover, we present a novel visualization of shared handwritten annotations providing an integrated access to annotations from all learners. The results of a user study indicate that CoScribe efficiently supports student annotation and can be easily integrated into current annotation practice."
33,Method and apparatus for determining an average wait time for user activities based on contextual sensors,35,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:vRqMK49ujn8C,"(57) ABSTRACT A wait-queue modeling system facilitates computing a wait time for an activity type. During operation, the system obtains user-behavior events associated with one or more users wait ing to performan activity of a target activity type. The system can determine, based on the user-behavior events, activity waiting attributes associated with users entering or leaving a waiting queue for an activity of the target activity type. The system then computes a wait time for the activity type based on the determined activity-waiting attributes."
34,Predicting shoppers' interest from social interactions using sociometric sensors,33,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:ufrVoPGSRksC,"Marketing research has longed for better ways to measure consumer behavior. In this paper, we explore using sociometric data to study social behaviors of group shoppers. We hypothesize that the interaction patterns among shoppers will convey their interest level, predicting probability of purchase. To verify our hypotheses, we observed co-habiting couples shopping for furniture. We have verified that there are sensible differences in customer behavior depending on their interest level. When couples are interested in an item they observe the item for a longer duration of time and have a more balanced speaking style. A real-time prediction model was constructed using a decision tree with a prediction accuracy reaching 79.8% and a sensitivity of 63%."
35,A comparison study of user behavior on Facebook and Gmail,32,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:_xSYboBqXhAC,"Email is one of the most important communication media to date, and millions of Internet users around the world spend the bulk of their time writing and reading electronic messages. The growing popularity of Social Network Sites (SNS) as a communication medium motivated us to explore the relationship between user behavior on SNS and email. In this paper, we collected objective, privacy-preserved behavior data from participants that were both active Facebook and Gmail users. We show that a large proportion of social interactions still occur through email messages, while participants tend to be more emotional on Facebook. We found that producing more content on Facebook does not necessarily decrease or increase the production of emails. By utilizing the quantitative analysis of usage data instead of surveys, we show that user behavior is likely consistent across SNS and email in some aspects, for …"
36,Method and apparatus for optimizing message delivery in recommender systems,31,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:BrmTIyaxlBUC,"One embodiment of the present invention provides a system for optimizing the performance of a recommendation engine by generating an optimal recommendation time window. During operation, the system receives user click-through behavior on past recommendations and current user informa tion, Such as demographics and location. The system also receives information on one or more offers. The system deter mines the appropriate user-group for each user, and appropri ate offer-group for each offer. The system then generates an optimal time period for a given recommendation for a given user and offer, wherein the optimal recommendation time window is the period when the offer is most likely to be accepted."
37,Detecting small group activities from multimodal observations,29,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:WF5omc3nYNoC,"This article addresses the problem of detecting configurations and activities of small groups of people in an augmented environment. The proposed approach takes a continuous stream of observations coming from different sensors in the environment as input. The goal is to separate distinct distributions of these observations corresponding to distinct group configurations and activities. This article describes an unsupervised method based on the calculation of the Jeffrey divergence between histograms over observations. These histograms are generated from adjacent windows of variable size slid from the beginning to the end of a meeting recording. The peaks of the resulting Jeffrey divergence curves are detected using successive robust mean estimation. After a merging and filtering process, the retained peaks are used to select the best model, i.e. the best allocation of observation distributions for a meeting …"
38,Unsupervised modeling of users' interests from their Facebook profiles and activities,27,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:bnK-pcrLprsC,"User interest profiles have become essential for personalizing information streams and services, and user interfaces and experiences. In today's world, social networks such as Facebook or Twitter provide users with a powerful platform for interest expression and can, thus, act as a rich content source for automated user interest modeling. This, however, poses significant challenges because the user generated content on them consists of free unstructured text. In addition, users may not explicitly post or tweet about everything that interests them. Moreover, their interests evolve over time. In this paper, we propose a novel unsupervised algorithm and system that addresses these challenges. It models a broad range of an individual user's explicit and implicit interests from her social network profile and activities without any user input. We perform extensive evaluation of our system, and algorithm, with a dataset …"
39,Inferring personality of online gamers by fusing multiple-view predictions,27,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:RGFaLdJalmkC,"Reliable personality prediction can have direct impact on many adaptive systems, such as targeted advertising, interface personalization and content customization. We propose an algorithm to infer a user’s personality profile more reliably by fusing analytical predictions from multiple sources including behavioral traces, textual data, and social networking information. We applied and validated our approach using a real data set obtained from 1,040 World of Warcraft players. Besides behavioral and social networking information, we found that text analysis of character names yields the strongest personality cues."
40,Using temporal patterns (t-patterns) to derive stress factors of routine tasks,26,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Z8yocGUAAAAJ&pagesize=50&citation_for_view=Z8yocGUAAAAJ:kNdYIx-mwKoC,"We describe the use of a statistical technique called T-pattern analysis to derive and characterize the routineness of tasks. T-patterns provide significant advantages over traditional sequence analyses by incorporating time. A T-pattern is characterized by a significant time window (critical interval) that describes the duration of this pattern. Our analysis is based on data collected from shadowing 10 knowledge workers over a total of 29 entire work days. We report on the statistics of detected T-patterns and derived correlations with participant perceptions of workload, autonomy, and productivity."
